id,project_id,fixed_errors_date,is_completed
1,318,,0
2,319,,0
3,320,,0
4,321,,0
5,322,,0
6,323,,0
7,324,,0
8,325,,0
9,326,,0
10,327,,0
11,328,,0
12,329,,0
13,330,,0
14,331,,0
15,332,,0
16,333,,0
17,334,,0
18,335,,0
19,336,,0
20,337,,0
21,338,,0
22,339,,0
23,340,,0
24,341,,0
25,342,,0
26,343,,0
27,344,,0
28,345,,0
29,346,,0
30,347,,0
31,348,,0
32,349,,0
33,350,,0
34,351,,0
35,352,,0
36,353,,0
37,354,,0
38,355,,0
39,356,,0
40,357,,0
41,358,,0
42,359,,0
43,360,,0
44,361,,0
45,362,,0
46,363,,0
47,364,,0
48,365,,0
49,366,,0
50,367,,0
51,368,,0
52,369,,0
53,370,,0
54,371,,0
55,372,,0
56,373,,0
57,374,,0
58,375,,0
59,376,,0
60,377,,0
61,378,,0
62,379,,0
63,380,,0
64,381,,0
65,382,,0
66,383,,0
67,384,,0
68,385,,0
69,386,,0
70,387,,0
71,388,,0
72,389,,0
73,390,,0
74,391,,0
75,392,,0
76,393,,0
77,394,,0
78,395,,0
79,396,,0
80,397,,0
81,398,,0
82,399,,0
83,400,,0
84,401,,0
85,402,,0
86,403,,0
87,404,,0
88,405,,0
89,406,,0
90,407,,0
91,408,,0
92,409,,0
93,410,,0
94,411,,0
95,412,,0
96,413,,0
97,414,,0
98,415,,0
99,416,,0
100,417,,0
101,418,,0
102,419,,0
103,420,,0
104,421,,0
105,422,,0
106,423,,0
107,424,,0
108,425,,0
109,426,,0
110,427,,0
111,428,,0
112,429,,0
113,430,,0
114,431,,0
115,432,,0
116,433,,0
117,434,,0
118,435,,0
119,436,,0
120,437,,0
121,438,2025-10-14,0
122,439,,0
123,440,,0
124,441,,0
125,442,,0
126,443,,0
127,444,,0
128,445,,0
129,446,,0
130,447,,0
131,448,,0
132,449,,0
133,450,,0
134,451,,0
135,452,,0
136,453,,0
137,454,,0
138,455,,0
139,456,,0
140,457,,0
141,458,,0
142,459,,0
143,460,,0
144,461,,0
145,462,,0
146,463,2025-10-14,0
147,464,,0
148,465,,0
149,466,,0
150,467,,0
151,468,,0
152,469,,0
153,470,,0
154,471,,0
155,472,,0
156,473,,0
157,474,,0
158,475,,0
159,476,,0
160,477,,0
161,478,,0
162,479,,0
163,480,,0
164,481,,0
165,482,,0
166,483,,0
167,484,,0
168,485,,0
169,486,,0
170,487,,0
171,488,,0
172,489,,0
173,490,,0
174,491,,0
175,492,,0
176,493,,0
177,494,,0
178,495,,0
179,496,,0
180,497,,0
181,498,,0
182,499,,0
183,500,,0
184,501,,0
185,502,,0
186,503,,0
187,504,,0
188,505,,0
189,506,,0
190,507,,0
191,508,,0
192,509,,0
193,510,,0
194,511,,0
195,512,,0
196,513,,0
197,514,,0
198,515,,0
199,516,,0
200,517,,0
201,518,,0
202,519,,0
203,520,,0
204,521,,0
205,522,,0
206,523,,0
207,524,,0
208,525,,0
209,526,,0
210,527,,0
211,528,,0
212,529,,0
213,530,,0
214,531,,0
215,532,,0
216,533,,0
217,534,,0
218,535,,0
219,536,,0
220,537,,0
221,538,,0
222,539,,0
223,540,,0
224,541,,0
225,542,,0
226,543,,0
227,544,,0
228,545,,0
229,546,,0
230,547,,0
231,548,,0
232,549,,0
233,550,,0
234,551,,0
235,552,,0
236,553,,0
237,554,,0
238,555,,0
239,556,,0
240,557,,0
241,558,,0
242,559,,0
243,560,,0
244,561,,0
245,562,,0
246,563,,0
247,564,,0
248,565,,0
249,566,,0
250,567,,0
251,568,,0
252,569,,0
253,570,,0
254,571,,0
255,572,,0
256,573,,0
257,574,,0
259,576,,0
260,577,,0
262,579,,0
263,580,,0
264,581,,0
265,582,,0
266,583,2025-10-15,0
267,584,,0
268,585,,0
269,586,,0
270,587,,0
271,588,,0
272,589,,0
273,590,,0
274,591,,0
275,592,,0
276,593,2025-10-15,0
277,594,,0
278,595,,0
279,596,2025-10-15,1
280,597,2025-10-15,1
281,598,2025-10-15,1
282,599,2025-10-15,1
283,600,,0
284,601,,0
285,602,,0
286,603,,0
287,604,,0
288,605,,0
289,606,,0
290,607,,0
291,608,,0
292,609,,0
293,610,,0
294,611,,0
295,612,,0
296,613,,0
297,614,,0
298,615,,0
299,616,,0
300,617,,0
301,618,,0
302,619,,0
303,620,,0
304,621,,0
305,622,,0
306,623,,0
307,624,,0
308,625,,0
309,626,,0
310,627,,0
311,628,,0
312,629,,0
313,630,,0
314,631,,0
315,632,,0
316,633,,0
317,634,,0
318,635,,0
319,636,,0
320,637,,0
321,638,,0
322,639,,0
323,640,,0
324,641,,0
325,642,,0
326,643,,0
327,644,,0
328,645,,0
329,646,,0
330,647,,0
331,648,,0
332,649,,0
333,650,,0
334,651,,0
335,652,,0
336,653,,0
337,654,,0
338,655,,0
339,656,,0
340,657,,0
341,658,,0
342,659,,0
343,660,,0
344,661,,0
345,662,,0
346,663,,0
347,664,,0
349,666,,0
350,667,,0
351,668,,0
352,669,,0
353,670,,0
354,671,,0
355,672,,0
356,673,,0
357,674,,0
358,675,,0
359,676,,0
360,677,,0
361,678,,0
362,679,,0
363,680,,0
364,681,,0
365,682,,0
366,683,,0
367,684,,0
368,685,,1
369,686,,1
370,687,,1
371,688,2025-10-27,1
372,689,,0
373,690,,1
374,691,2025-10-27,1
375,692,2025-10-27,1
376,693,2025-10-27,1
377,694,2025-10-27,1
378,695,,0
379,696,,0
380,697,,0
381,698,,0
382,699,,0
383,700,,0
384,701,,0
385,702,,0
386,703,,0
387,704,,0
388,705,,0
389,706,,0
390,707,,0
391,708,,0
392,709,,0
393,710,,0
394,711,,0
395,712,,0
396,713,,0
397,714,,0
398,715,,0
399,716,,0
400,717,,0
401,718,,0
402,719,,0
403,720,,0
404,721,,0
405,722,,0
406,723,,0
407,724,,0
